Magic Word Detection Log - 20250808_162818
Magic Word: 0201040306050807
Baudrate: 921600
============================================================
Chunk    1 | Position   0 | Interval    N/A  | Size 1024B | Data 020104030605080700020603e0040000
Chunk    1 | Position 968 | Interval    0.0ms | Size 1024B | Data 020104030605080700020603e0040000
Chunk    2 | Position 886 | Interval  500.0ms | Size 1024B | Data 000000000000000057f8203e78aed53f
Chunk    3 | Position 790 | Interval  500.0ms | Size 1024B | Data 0000000000003c82d43fb5276b3f0000
Chunk    4 | Position 694 | Interval  504.0ms | Size 1024B | Data 000065979b3f0000000044ece13f0000
Chunk    5 | Position 598 | Interval  500.0ms | Size 1024B | Data 979bbf57f8203e78aed53f0000000065
Chunk    6 | Position 554 | Interval  500.0ms | Size 1024B | Data 78ea3f0000000065979bbf1fda9ebf95
Chunk    7 | Position 515 | Interval  500.0ms | Size 1024B | Data 0078000000fb00f90298004003a00061
Chunk    8 | Position 477 | Interval  504.0ms | Size 1024B | Data 000e03c4029d00d002f400e2021b01eb
Chunk    9 | Position 413 | Interval  500.0ms | Size 1024B | Data 0cf40bd20c830d750d080e8f0edc0d52
Chunk   10 | Position 380 | Interval  500.0ms | Size 1024B | Data 321083108f10fc10b810190f3d0fad0f
Chunk   11 | Position 316 | Interval  500.0ms | Size 1024B | Data 0c7a0d3b0e250e1f0ec80d4b0d5f0d34
Chunk   12 | Position 284 | Interval  500.0ms | Size 1024B | Data 730a660ad30a5d0b150b2f0ada0af60a
Chunk   13 | Position 197 | Interval  503.9ms | Size 1024B | Data fb0967091b096e0992091d09ca09dc09
Chunk   14 | Position 165 | Interval  499.0ms | Size 1024B | Data 6009fa0997220adb0a190be80a290a8e
Chunk   15 | Position  83 | Interval  500.0ms | Size 1024B | Data 0919092509087d08c0088f081608d107
Chunk   16 | Position   4 | Interval  989.0ms | Size 1024B | Data 38003700020104030605080700020603
Chunk   16 | Position 979 | Interval    0.0ms | Size 1024B | Data 38003700020104030605080700020603
Chunk   17 | Position 904 | Interval  500.0ms | Size 1024B | Data 01000056f8203e83255a3e0000000000
Chunk   18 | Position 875 | Interval  500.0ms | Size 1024B | Data 00000000000000005cbb90be0bbae43f
Chunk   19 | Position 806 | Interval  500.0ms | Size 1024B | Data 276b3f0000000000000000cdac9bbf1c
Chunk   20 | Position 739 | Interval  504.0ms | Size 1024B | Data 000065979b3f5c46dc3d1dd8db3f0000
Chunk   21 | Position 675 | Interval  500.0ms | Size 1024B | Data 979b3f3c82d43fb5276b3f0000000065
Chunk   22 | Position 611 | Interval  500.0ms | Size 1024B | Data 979bbf57f8203e78aed53f0000000065
Chunk   23 | Position 594 | Interval  500.0ms | Size 1024B | Data 979bbf9bbf1438edbeb5afe53f000000
Chunk   24 | Position 532 | Interval  500.0ms | Size 1024B | Data 65979bbfc10693bfb478ea3f00000000
Chunk   25 | Position 500 | Interval  504.5ms | Size 1024B | Data 039f006003b1004803ad003e039d008a
Chunk   26 | Position 458 | Interval  500.0ms | Size 1024B | Data 00fb02ef00ff02e50009039c002903b6
Chunk   27 | Position 372 | Interval  500.0ms | Size 1024B | Data 740d020d120d800df00d0211fa10d610
Chunk   28 | Position 288 | Interval  500.0ms | Size 1024B | Data 0df10ca70c9c0c540c380d700d6f0cb1
Chunk   29 | Position 224 | Interval  503.4ms | Size 1024B | Data 3f0a3a0a360a6b099b0962095709d209
Chunk   30 | Position 160 | Interval  499.5ms | Size 1024B | Data db099009a909ce09e809be09db09c509
Chunk   31 | Position  84 | Interval  989.5ms | Size 1024B | Data 099009080992084608d107e407090834
Chunk   31 | Position 1016 | Interval    0.0ms | Size 1024B | Data 099009080992084608d107e407090834
