frame_number,timestamp,exposure,gain,fps
0,1742570798.4247162,249.0,33.0,30.0
1,1742570798.4619424,249.0,33.0,30.0
2,1742570798.7261527,249.0,33.0,30.0
3,1742570798.762081,249.0,33.0,30.0
4,1742570798.8300116,249.0,33.0,30.0
5,1742570798.893988,249.0,33.0,30.0
6,1742570799.3252292,249.0,33.0,30.0
7,1742570799.4274604,249.0,33.0,30.0
8,1742570799.465975,249.0,33.0,30.0
9,1742570799.828095,249.0,33.0,30.0
10,1742570799.8659549,249.0,33.0,30.0
11,1742570799.9339736,249.0,33.0,30.0
12,1742570800.002135,249.0,33.0,30.0
13,1742570800.0660806,249.0,33.0,30.0
14,1742570800.1341555,249.0,33.0,30.0
15,1742570800.2020295,249.0,33.0,30.0
16,1742570800.2660308,249.0,33.0,30.0
17,1742570800.3339834,249.0,33.0,30.0
18,1742570800.6019447,249.0,33.0,30.0
19,1742570800.9379096,249.0,33.0,30.0
20,1742570801.0059195,249.0,33.0,30.0
21,1742570801.0699859,249.0,33.0,30.0
22,1742570801.1381934,249.0,33.0,30.0
23,1742570801.2740052,249.0,33.0,30.0
24,1742570801.3379278,249.0,33.0,30.0
25,1742570801.6060116,249.0,33.0,30.0
26,1742570801.8739266,249.0,33.0,30.0
27,1742570801.9419487,249.0,33.0,30.0
28,1742570802.0100543,249.0,33.0,30.0
29,1742570802.0740845,249.0,33.0,30.0
30,1742570802.1419268,249.0,33.0,30.0
31,1742570802.2097735,249.0,33.0,30.0
32,1742570802.2777255,249.0,33.0,30.0
33,1742570802.341843,249.0,33.0,30.0
34,1742570802.4096458,249.0,33.0,30.0
35,1742570802.5456607,249.0,33.0,30.0
36,1742570802.6098173,249.0,33.0,30.0
37,1742570802.8457344,249.0,33.0,30.0
38,1742570802.9136271,249.0,33.0,30.0
39,1742570802.977639,249.0,33.0,30.0
40,1742570803.045967,249.0,33.0,30.0
41,1742570803.1138422,249.0,33.0,30.0
42,1742570803.1817982,249.0,33.0,30.0
43,1742570803.313728,249.0,33.0,30.0
