frame,x,y,velocity,snr
36,-0.079,0.037,0.000,17.000
36,0.065,0.058,0.000,17.000
36,0.057,1.831,0.000,15.800
36,-0.120,1.915,0.000,15.600
36,1.019,1.626,0.000,15.600
36,-1.145,3.479,0.000,20.600
36,-2.500,2.660,0.000,20.600
36,-1.319,3.603,0.000,15.600
36,-2.500,2.668,0.000,15.600
36,-0.294,0.187,0.121,33.700
36,-0.164,0.308,0.121,33.700
37,-0.079,0.037,0.000,35.200
37,0.065,0.058,0.000,35.200
37,-0.511,0.408,0.000,17.600
37,0.959,1.662,0.000,15.900
37,-0.120,1.915,0.000,15.900
37,-1.274,3.481,0.000,19.200
37,-2.500,2.577,0.000,19.200
37,-1.319,3.603,0.000,15.200
37,-2.500,2.668,0.000,15.200
37,-0.184,0.347,0.241,39.000
37,-0.331,0.211,0.241,39.000
37,0.147,0.502,0.483,47.900
37,-0.033,0.522,0.483,47.900
37,-0.052,0.827,-0.966,22.500
38,-0.079,0.037,0.000,38.400
38,0.065,0.058,0.000,38.400
38,0.447,1.731,0.000,20.100
38,-0.168,1.780,0.000,20.100
38,-1.274,3.481,0.000,17.600
38,-2.500,2.577,0.000,17.600
38,-1.319,3.603,0.000,15.300
38,-2.500,2.668,0.000,15.300
38,-0.218,0.378,0.241,41.200
38,-0.382,0.211,0.241,41.200
38,0.089,0.560,0.604,47.600
38,-0.124,0.553,0.604,47.600
39,-0.079,0.037,0.000,24.900
39,0.065,0.058,0.000,24.900
39,0.057,1.831,0.000,15.700
39,-1.274,3.481,0.000,17.300
39,-2.500,2.577,0.000,17.300
39,-0.232,0.369,0.121,36.400
39,-0.395,0.184,0.121,36.400
39,-0.035,0.566,0.362,42.000
39,-0.248,0.510,0.362,42.000
40,-0.079,0.037,0.000,15.800
40,0.065,0.058,0.000,15.800
40,-0.259,0.351,0.000,21.400
40,-0.409,0.152,0.000,21.400
40,-0.049,0.521,0.000,27.200
40,-0.245,0.462,0.000,27.200
40,0.038,0.609,0.000,29.300
40,-0.191,0.580,0.000,29.300
40,0.000,1.831,0.000,18.400
40,0.899,1.695,0.000,15.600
40,0.000,1.919,0.000,15.600
40,-1.274,3.481,0.000,17.100
40,-2.500,2.577,0.000,17.100
41,-0.079,0.037,0.000,23.800
41,0.065,0.058,0.000,23.800
41,0.056,1.787,0.000,16.400
41,0.959,1.662,0.000,16.400
41,-1.274,3.481,0.000,17.600
41,-2.500,2.577,0.000,17.600
41,-0.245,0.361,-0.121,37.500
41,-0.409,0.152,-0.121,37.500
42,-0.079,0.037,0.000,39.800
42,0.065,0.058,0.000,39.800
42,-0.056,1.787,0.000,17.500
42,0.447,1.731,0.000,17.500
42,-1.274,3.481,0.000,16.800
42,-2.500,2.577,0.000,16.800
42,-1.319,3.603,0.000,15.600
42,-2.500,2.668,0.000,15.600
42,-0.030,0.479,-0.483,37.700
42,-0.210,0.431,-0.483,37.700
42,-0.218,0.378,-0.241,41.900
42,-0.382,0.211,-0.241,41.900
43,-0.079,0.037,0.000,34.700
43,0.065,0.058,0.000,34.700
43,-0.112,1.784,0.000,15.700
43,0.503,1.716,0.000,15.700
43,-1.274,3.481,0.000,20.600
43,-2.500,2.577,0.000,20.600
43,-0.184,0.347,-0.241,43.100
43,-0.331,0.211,-0.241,43.100
44,-0.079,0.037,0.000,32.700
44,0.065,0.058,0.000,32.700
44,-0.120,1.915,0.000,16.000
44,0.959,1.662,0.000,16.000
44,-1.145,3.479,0.000,20.500
44,-2.500,2.660,0.000,20.500
44,0.023,0.741,-0.724,15.300
44,-0.331,0.211,-0.241,41.100
44,-0.184,0.347,-0.241,41.100
45,-0.079,0.037,0.000,17.300
45,0.065,0.058,0.000,17.300
45,-0.147,0.364,0.000,31.900
45,0.000,0.392,0.000,31.900
45,-0.180,1.910,0.000,15.400
45,0.959,1.662,0.000,15.400
45,-1.145,3.479,0.000,20.200
45,-2.500,2.660,0.000,20.200
45,-1.199,3.645,0.000,15.800
45,-2.500,2.668,0.000,15.800
46,-0.079,0.037,0.000,28.500
46,0.065,0.058,0.000,28.500
46,-1.145,3.479,0.000,19.700
46,-2.500,2.660,0.000,19.700
46,-0.153,0.314,0.241,38.900
46,0.022,0.697,0.724,19.100
46,-0.240,0.655,0.724,19.100
47,-0.079,0.037,0.000,35.500
47,0.065,0.058,0.000,35.500
47,-0.496,0.356,0.000,15.200
47,0.496,0.356,0.000,15.200
47,-0.056,1.787,0.000,16.600
47,-1.274,3.481,0.000,17.000
47,-2.500,2.577,0.000,17.000
47,-1.319,3.603,0.000,15.500
47,-2.500,2.668,0.000,15.500
47,-0.014,0.436,0.604,39.500
47,-0.177,0.398,0.604,39.500
47,-0.104,0.822,-0.845,21.900
48,-0.079,0.037,0.000,38.000
48,0.065,0.058,0.000,38.000
48,0.056,1.787,0.000,19.100
48,-1.274,3.481,0.000,16.700
48,-2.500,2.577,0.000,16.700
48,-0.204,0.385,0.241,37.500
48,-0.382,0.211,0.241,37.500
48,-0.030,0.479,0.483,36.600
48,-0.210,0.431,0.483,36.600
49,-0.079,0.037,0.000,19.700
49,0.065,0.058,0.000,19.700
49,0.168,1.780,0.000,22.000
49,-0.060,1.918,0.000,15.500
49,0.959,1.662,0.000,15.500
49,-1.274,3.481,0.000,18.000
49,-2.500,2.577,0.000,18.000
49,-0.245,0.361,0.121,35.900
49,-0.409,0.152,0.121,35.900
50,-0.079,0.037,0.000,18.000
50,0.065,0.058,0.000,18.000
50,0.114,1.828,0.000,20.400
50,-0.060,1.918,0.000,16.700
50,0.959,1.662,0.000,16.700
50,-1.274,3.481,0.000,17.900
50,-2.500,2.577,0.000,17.900
50,-0.245,0.361,-0.121,35.200
50,-0.409,0.152,-0.121,35.200
51,-0.079,0.037,0.000,39.400
51,0.065,0.058,0.000,39.400
51,0.112,1.784,0.000,19.300
51,-0.559,1.698,0.000,19.300
51,0.959,1.662,0.000,15.200
51,-0.060,1.918,0.000,15.200
51,-1.145,3.479,0.000,16.800
51,-2.500,2.547,0.000,16.800
51,-1.274,3.481,0.000,17.900
51,-2.500,2.577,0.000,17.900
51,0.089,0.560,-0.483,49.600
51,-0.124,0.553,-0.483,49.600
51,-0.218,0.378,-0.241,36.600
51,-0.382,0.211,-0.241,36.600
52,-0.079,0.037,0.000,35.000
52,0.065,0.058,0.000,35.000
52,0.447,1.731,0.000,21.300
52,-0.168,1.780,0.000,21.300
52,-1.274,3.481,0.000,15.300
52,-2.500,2.577,0.000,15.300
52,-1.319,3.603,0.000,15.300
52,-2.500,2.668,0.000,15.300
52,-0.184,0.347,-0.362,44.200
52,-0.331,0.211,-0.362,44.200
53,-0.079,0.037,0.000,36.900
53,0.065,0.058,0.000,36.900
53,-0.112,1.784,0.000,18.300
53,0.959,1.662,0.000,15.700
53,-1.259,3.440,0.000,16.300
53,0.000,0.698,-0.966,25.700
53,-0.262,0.647,-0.966,25.700
53,-0.294,0.187,-0.362,40.300
53,-0.164,0.308,-0.362,40.300
54,0.012,0.392,0.000,30.200
54,-0.057,1.831,0.000,16.500
54,-1.259,3.440,0.000,17.100
54,-2.500,2.547,0.000,17.100
55,-0.079,0.037,0.000,38.500
55,0.065,0.058,0.000,38.500
55,0.000,1.788,0.000,17.300
55,0.899,1.695,0.000,15.200
55,0.000,1.919,0.000,15.200
55,-1.274,3.481,0.000,15.500
55,-2.500,2.577,0.000,15.500
55,-1.319,3.603,0.000,15.500
55,-2.500,2.668,0.000,15.500
55,-0.184,0.347,0.483,46.200
55,-0.331,0.211,0.483,46.200
55,0.109,0.422,0.845,40.300
55,-0.055,0.433,0.845,40.300
56,-0.079,0.037,0.000,40.000
56,0.065,0.058,0.000,40.000
56,0.056,1.787,0.000,18.500
56,-1.274,3.481,0.000,17.500
56,-2.500,2.577,0.000,17.500
56,-0.232,0.369,0.483,48.600
56,-0.395,0.184,0.483,48.600
56,-0.018,0.567,-0.845,57.600
56,-0.544,0.625,-0.121,16.800
57,-0.079,0.037,0.000,33.100
